TREATMENT_ID,THRESHOLD,ALGORITHM,F1_SCORE,ACCURACY
1228,8813,SVC,0.433628318584071,0.765625
1234,9044,ADA,0.575018519573765,0.755411255411255
1234,9044,DT,0.883985447504368,0.91017316017316
1234,9044,KNN,0.421052631578947,0.727272727272727
1234,9044,LR,0.630886970172684,0.753246753246753
1234,9044,NN,0.421052631578947,0.727272727272727
1234,9044,RF,0.885836547733848,0.911255411255411
1234,9044,SGD,0.214285714285714,0.272727272727273
1234,9044,SVC,0.421052631578947,0.727272727272727
1315,9443,ADA,0.745218683084002,0.784825870646766
1315,9443,DT,0.897362851479827,0.90547263681592
1315,9443,KNN,0.390909090909091,0.641791044776119
1315,9443,LR,0.76243783075102,0.79228855721393
1315,9443,NN,0.263736263736264,0.358208955223881
1315,9443,RF,0.905608479806789,0.912935323383085
1315,9443,SGD,0.406298221795424,0.445273631840796
1315,9443,SVC,0.390909090909091,0.641791044776119
